,Season,Episode,Character,Line,prob
89,10,1,Det. Jarvis,did he ever do this how about this ,0.17790822312235832
90,10,1,Butters,my uncle bud did that to me once ,0.067657366162166
91,10,1,Det. Jarvis,did chef ever try one of these on for size ,0.09186420938931406
92,10,1,Kyle,goddammit chef isnt like that something funny is going on around here,8.409616351127625
93,10,1,Det. Jarvis,young man will you please pay attention this is very important stuff ohhh ohhhhhh,0.12829700717702508
94,10,1,Chef,hello there children,0.1347177429124713
95,10,1,Kyle,chef the police are asking questions about you,0.10197299998253584
96,10,1,Chef,oh really well lets all go home and make love,0.08660898893140256
97,10,1,Stan,no chef we dont wanna make love to you,0.5950008984655142
98,10,1,Chef,kenny how would you like to sodomize my black ass,98.30332398414612
99,10,1,Kyle,chef chef you need to get out of here before you get arrested all right,7.232997566461563
100,10,1,Chef,i specializes in your asshole kyle ,97.69695997238159
101,10,1,Cartman,man i cant believe all this time chef just wanted us for sex,67.46511459350586
102,10,1,Kyle,he didnt want us for sex fatass something is making him say those things,88.51773738861084
103,10,1,Kenny,like what,0.47558676451444626
104,10,1,Kyle,something must have happened to chef while he was gone maybe he hit his head or or got stuck in some quant time vortex,0.07146833231672645
105,10,1,Stan,well look he spent the last three months with that adventurers club maybe they know what happened to him,0.06500707822851837
106,10,1,Kenny,yeah i think,0.12948241783306003
107,10,1,Cartman,yeah,0.23757591843605042
108,10,1,Kyle,all right come on guys,0.08648207876831293
109,10,1,Cartman,hey you guys you know what they call a jewish womans boobs jewbs ,98.46422076225281
110,10,1,Butler,may i help you,0.09626027313061059
111,10,1,Kyle,ahh hi can we speak to the head guy or something,0.06056939600966871
112,10,1,Butler,right this way ,0.1969297882169485
113,10,1,Head Adventurer,now the upper rim of kilimanjaro should be quite a trek and so well need to have a,0.07367061916738749
114,10,1,Butler,excuse me sir these boys wanted to speak with you,0.06664211978204548
115,10,1,Head Adventurer,ahh yes splendid good afternoon lads im head adventurer william p connolly esquire welcome to the super adventure club,0.06425476749427617
116,10,1,Club Members,tally ho,0.22483081556856632
117,10,1,Mr. Connolly,indeed,0.14688657829537988
118,10,1,Kyle, hi our friend joined your club a while back and now he wants to molest kids ,83.15227627754211
119,10,1,Mr. Connolly,what well well yes of course thats what the super adventure club does,0.07282828446477652
120,10,1,Cartman,h,0.22288775071501732
121,10,1,Marksman,we travel the world and have sex with children,10.170374065637589
122,10,1,Marine,yes what else would we do,0.10605605784803629
123,10,1,Kyle,well we thought you went exploring and like hunting and stuff,0.062387954676523805
124,10,1,Mr. Connolly,noo no thats the adventure club were the super adventure club  next week well be heading to the outer banks of the amazon where we will make camp and have sex with children of the ugani tribe then its off to the mighty himalayas where we will climb k2 and molest several tibetan children on the east smit,97.97019958496094
125,10,1,Kyle,dude,97.41507768630981
126,10,1,Mr. Connolly,i know but it gets even better from there we will kayak to the fruitful banks of the mele river in africa where the secret and mysterious hanimi people have children who have never seen a white mans erect penis of course were always looking for kids to have sex with on the plane rides over to these places so how would you all like to join the super adventure club,45.090749859809875
127,10,1,Stan,no,0.24813299532979727
128,10,1,Mr. Connolly,no oh really perhaps i should ask you again  how would you like to join the super adventure club ,0.06994077702984214
129,10,1,Stan,no ,0.23515364155173302
130,10,1,Kyle,dude what are you doing,37.45831251144409
131,10,1,Mr. Connolly,oh well it doesnt work on everybody  well so long then,0.3534266725182533
132,10,1,Kyle,just what the hell is that thing,94.22783851623535
133,10,1,Mr. Connolly,what what thing i dont see anything,0.5485056433826685
134,10,1,Kyle,ha i knew it,0.2137141302227974
135,10,1,Stan,knew what,0.11270946124568582
136,10,1,Kyle,the reason chef has been saying those terrible things about us is because hes been brainwashed by this fruity little club,76.819908618927
137,10,1,Cartman,oh son of a bitch,97.53932356834412
138,10,1,Chef,come on children lets all go home and make love,0.12164250947535038
139,10,1,Stan,you need to see a psychiatrist chef its for your own good,4.504973813891411
140,10,1,Chef,i just like to make love up your butt,98.42303395271301
141,10,1,Woman,oh my god,0.20717689767479897
142,10,1,Nurse,mr chef is it,0.09617286850698292
143,10,1,Kyle,all right come on ,0.15265661058947444
144,10,1,Dr. Neeland,hello im dr neeland what can i do for you today,0.0767680408898741
145,10,1,Kyle,hi  our friend has been brainwashed by some fruity little club,92.28726625442505
146,10,1,Dr. Neeland,brainwashed,80.03672361373901
147,10,1,Stan,yeah he joined the super adventure club and they convinced him having sex with children was okay with a little thing that goes whrrrrrr,15.647266805171967
148,10,1,Dr. Neeland,i thought that club was for hiking and kayaking,0.0723564822692424
149,10,1,Stan,no thats the adventure club the super adventure club has sex with children,96.8970239162445
150,10,1,Dr. Neeland,oh oh thats right yeah,0.12293532490730286
151,10,1,Chef,doctor do you have children,0.1198392128571868
152,10,1,Dr. Neeland,why yes i have two young boys,0.07033508154563606
153,10,1,Chef,have you all been sodomizing your children too,47.82363474369049
154,10,1,Dr. Neeland,you say hes never been like this before,0.07662004791200161
155,10,1,Cartman,no chef has always been supercool,0.17662704922258854
156,10,1,Chef,im gonna make love to the children,0.10939424391835928
157,10,1,Dr. Neeland,hes pretty brainwashed all right worst case ive ever seen,88.82737755775452
158,10,1,Cartman,so what can we do,0.07626278093084693
159,10,1,Dr. Neeland,im afraid theres no simple answer when somebodys brainwashed it can take months even years to reverse the process,0.9843574836850166
160,10,1,Kyle,but we dont have years if chef keeps this up hes gonna go to jail forever,27.334004640579224
161,10,1,Dr. Neeland,tell me what was chefs favorite thing to do before it was having sex with children,3.287181258201599
162,10,1,Stan,having sex with women,2.248021960258484
163,10,1,Dr. Neeland,then thats it wed better get your friend to the peppermint hippo right away,0.1386502874083817
164,10,1,DJ,all right guys be sure to tip the waitresses this is two for one put your hands together this is monique,0.3364947158843279
165,10,1,Chef,aw come on children lets go home,0.07884270744398236
166,10,1,Stan,this isnt working,0.3415199229493737
167,10,1,Dr. Neeland,well lets give it some more time kids ,0.06272101891227067
168,10,1,Stripper,would you like to daaance,0.12302726972848177
169,10,1,Kyle,no thanks were trying to unbrainwash our friend,1.3356958515942097
170,10,1,Stripper,daaance anybody wanna daaance,0.24313372559845448
171,10,1,Cartman,come on bitch dance,97.34052419662476
172,10,1,Blonde,up yours fatty,95.08317708969116
173,10,1,Cartman,bitch ill twist your nuts off,98.3000636100769
174,10,1,DJ,all right guys help me feel it out to them we got a featured dancer coming out next put your hands together for spontaneous bootay ,0.06651952280662954
175,10,1,Stan,come on guys we might as well go ,0.08243780466727912
176,10,1,Chef,goddamn,98.18182587623596
177,10,1,Stan,chef were leaving,0.07013237336650491
178,10,1,Dr. Neeland,nono wait let him go ,0.5019234959036112
179,10,1,Spontaneous Bootay,come here chubby ,3.1876757740974426
180,10,1,Chef,wait a minute,0.4381677135825157
181,10,1,Stan,hes remembering,0.15521668829023838
182,10,1,Chef,children what have i done,2.2191936150193214
183,10,1,Cartman,its okay chef go on remember,0.08822528179734945
184,10,1,Chef,im goinna im gonna,0.3857133211567998
185,10,1,Kyle,come on chef you can do it,0.1467654132284224
186,10,1,Chef,im gonna make love to you woman gonna lay you down by the fire,0.17831644508987665
187,10,1,The Boys,yay,0.1262558507733047
188,10,1,Kenny,chef,0.15115285059437156
189,10,1,Chef,hey children everybody im back  ow,0.08198649738915265
190,10,1,Mr. Connolly,great shot william hit him with another ,0.10145057458430529
191,10,1,Chef,oh ,0.14526275917887688
192,10,1,The Boys,chef,0.15115285059437156
193,10,1,Mr. Connolly,tally ho lads i must say youre starting to become quite a thorn in my balls,89.92584347724915
194,10,1,Stan,wheres chef what have you done with him,0.4431543406099081
195,10,1,Mr. Connolly,hes safe  hes fasting in the deprivation room and being read the super adventure club manual weve got to undo the damage youve done,0.1571094268001616
196,10,1,Cartman,look if you wanna go around the world molesting kids thats totally fine but why do you need chef,92.6652729511261
197,10,1,Mr. Connolly,we dont need him he needs us our club offers hope do you think we go around the world molesting children just because it feels really really really really good no our club has a message and a secret that explains the mysteries of life,40.856000781059265
198,10,1,Stan,oh jesus here we go,0.09413275984115899
199,10,1,Mr. Connolly,very well im now going to tell you the secret of the super adventure club,0.08218445582315326
200,10,1,Stan,we dont wanna hear it,42.82856583595276
201,10,1,Mr. Connolly,you see the super adventure club was founded by the greatest explorer of all time william p phinehas  phinehas climbed the highest peaks tamed the mightiest rivers  but every time he got somewhere he realized that other explorers had beat him to it  phinehas was depressed until he realized that if he couldnt be the first to discover places he could be the first to have sex with the native children that inhabited those areas  phinehas quickly went down in history books as the first man to have sex with the aborigine children at uluru and the first explorer to bugger all the underage mountainfolk of nepal  but now the most wonderful part you see after having sex with all those children phinehas realized that molesting all those kids had made him immortal,42.913803458213806
202,10,1,Stan,immortal,0.12376196682453156
203,10,1,Mr. Connolly,he discovered that children have things called marlocks in their bodies  and when an adult has sex with a child the marlocks implode feeding the adult receptive cavity with energy that causes immortality so saith the ruler of bethos  phinehas traveled the world loving many many children and he lived for eternity until he was hit by a train in 1892 ,0.17700898461043835
204,10,1,Kyle,do you realize how retarded that sounds,32.313597202301025
205,10,1,Mr. Connolly,is it any more retarded than the idea of god sending his son to die for our sins is it any more retarded than buddha sitting beneath a tree for twenty years,66.28848910331726
206,10,1,Stan,yeah its way way more retarded,96.53800129890442
207,10,1,Mr. Connolly,well now that you know our club secrets it appears you  leave us no choice im afraid were going to have to ask you to leave ,2.0769093185663223
208,10,1,Stan,were not leaving without chef,0.06408551707863808
209,10,1,Mr. Connolly,if you choose not to leave then im afraid were just going to have to  call security and make you leave  youll be let out by security and it will be superembarrassing and everyone here will see  okay you know how like when you want people to leave but they wont leave its really frustrating,93.06135177612305
210,10,1,Kyle,were not going anywhere without chef,0.09105148492380977
211,10,1,Mr. Connolly,cool people leave before theyve overstayed their welcome  you petulant fools you just had to push it didnt you you dont realize who youre dealing with here security  take these boys to the door,91.91724061965942
212,10,1,Guard 1,all right come on kids,0.10310073848813772
213,10,1,Kyle,no hey,0.17087229061871767
214,10,1,Mr. Connolly,haha look theyre being led out by security haha,0.07524563698098063
215,10,1,Stan,no you dont understand theyve got our friend in the deprivation room,0.16990506555885077
216,10,1,Guard 2,this is their house and they dont want you here ,98.12471270561218
217,10,1,Kyle,sorry dude but this fruity little club isnt taking our friend,0.35342012997716665
218,10,1,William,and sex with eskimo children requires some special skills ,78.21632623672485
219,10,1,Kyle,chef come on,0.09946033824235201
220,10,1,Chef,children,0.1676683546975255
221,10,1,William,get out of here,27.541980147361755
222,10,1,Cartman,kenny spin blossom nut squash,0.11312443530187011
223,10,1,Kenny,yeeeeehah ,0.20195231772959232
224,10,1,Stan,come on chef,0.08834170293994248
225,10,1,Chef,i cant break these locks ,16.88433438539505
226,10,1,Kyle,here ,0.22592204622924328
227,10,1,Cartman,run chef,0.13972922461107373
228,10,1,Mr. Connolly,what the impossible i made them leave,0.4958279896527529
229,10,1,Kyle,get outside ,0.07062787190079689
230,10,1,Mr. Connolly,stop them ,96.94944620132446
231,10,1,Chef,children run ,0.12197201140224934
232,10,1,Mr. Connolly,stop ,0.479701766744256
233,10,1,Stan,we made it,0.10945412795990705
234,10,1,Mr. Connolly,dont you remember why you left south park in the first place ,0.13204782735556364
235,10,1,Stan,chef come on,0.09946033824235201
236,10,1,Mr. Connolly,you sought adventure and why do people seek adventure because their lives have become dull and empty,0.10691442294046283
237,10,1,Kyle,yeah he wanted adventure not a bunch of ridiculous bullcrap right chef  chef,44.02278661727905
238,10,1,Mr. Connolly,dont forget all your training chef stay with us and your life will be grand and eternal,0.062334793619811535
239,10,1,Stan,chef we love you,0.07562469108961523
240,10,1,Chef,im sorry children ,0.16430082032456994
241,10,1,Kyle,no chef theyve filled your head with lies cant you see that,1.5006174333393574
242,10,1,Chef,get the hell out of here children,98.76776337623596
243,10,1,Mr. Connolly,yesss looks like our fruity little club is safe after all  no ,0.10887391399592161
244,10,1,The Boys,chef ,0.12715316843241453
245,10,1,Chef,ack  ow oh ah oh dammit  ah awww ,88.64827156066895
246,10,1,Stan,no ,0.23515364155173302
247,10,1,Cartman,a mountain lion ,1.13214161247015
248,10,1,Mr. Connolly,we cant lose another member shoot it ,0.2966403029859066
249,10,1,Chef,ah,0.17377125332131982
250,10,1,Marksman,all right this ,0.241348915733397
251,10,1,Kyle,chef ,0.12715316843241453
252,10,1,Cartman,a grizzly bear,0.6773930508643389
253,10,1,Stan,oh my god they killed chef,8.905482292175293
254,10,1,Kyle,you bastards you bastards,98.13288450241089
255,10,1,Mr. Connolly,pity he would have made an excellent child molester ,98.73364567756653
256,10,1,Cartman,maybe maybe hes still okay  no really they say the last thing you do before you die is crap your,1.353065948933363
257,10,1,Chef,pooot ,0.1711051561869681
258,10,1,Cartman,oh never mind,0.24821609258651733
259,10,1,Stan,come on lets go ,0.08112577488645911
260,10,1,Kyle,were all here today because chef has been such an important part of our lives a lot of us dont agree with the choices chef has made in the past few days  some of us feel hurt and confused that he seemed to turn his back on us  but we cant let the events of the last week take away the memories of how much chef made us smile  im gonna remember chef as the jolly old guy who always broke into song  im gonna remember chef as the guy who gave us advice to live by  so you see we shouldnt be mad at chef for leaving us we should be mad at that little fruity club for scrambling his brains,0.22167882416397333
261,10,1,Randy,yeah,0.23757591843605042
262,10,1,Mr. Mackey,hes right ,0.16746862092986703
263,10,1,Kyle,and in the end i know that somewhere out there theres the good part of chef thats still alive in us all ,0.082478387048468
264,10,1,Mr. Connolly,is it working is it working,0.0808563141617924
265,10,1,Tech,yes weve got a pulse,0.16161490930244327
266,10,1,Mr. Connolly,get him in the icu suit hurry  we have done it good raise him up  chef can you hear me say something,0.17285411013290286
267,10,1,Darth Chef,hello there children how would you like some salisbury steak,0.45723230578005314
268,10,1,Mr. Connolly,yes go on,0.08738379692658782
269,10,1,Darth Chef,and for desert how would you children like to suck on my chocolate salty balls,96.68790698051453
270,10,1,Mr. Connolly,oh you mean like a chocolate candy,0.11801711516454816
271,10,1,Darth Chef,no i mean my balls,30.829519033432007
272,10,1,Mr. Connolly,yes yes hahahahahahaaa,0.2527968492358923
273,10,2,Gerald,hey there richard,0.13061974896118045
274,10,2,Richard,oh hey gerald new car,0.06693220930173993
275,10,2,Gerald,yeah its a hybrid i just i just couldnt sit back and  be a part of destroying the earth anymore,4.917460307478905
276,10,2,Richard,well good for you,33.873823285102844
277,10,2,Gerald,oho  thanks ,0.07906032260507345
278,10,2,Stephen,well there goes the new highandmighty gerald broflovski,0.06290258606895804
279,10,2,Mrs. Garrison,yeah ever since he got that new hybrid he thinks hes better than everyone else,8.898558467626572
280,10,2,Gerald,you know the emissions from a vehicle like yours causes irreparable damage to the ozone i drive a hybrid its much better for the environment  thanks,0.2932180417701602
281,10,2,Kyle,dad can we go home all you ever do since you got this car is drive around and show it off ,11.166996508836746
282,10,2,Driver,hey is that a hybrid,0.5700018256902695
283,10,2,Gerald,oh yes youve got one too i see,0.15671453438699245
284,10,2,Driver,yeah i like to be a part of the solution and not part of the problem well anyway  good for you,0.2255891915410757
285,10,2,Gerald,thanks,0.09636461036279798
286,10,2,Kyle,dad i think ike is starving to death ,1.0741048492491245
287,10,2,Gerald,hold on boys we still have to go to the hardware store and hand out awareness citations to suv cars in the parking lot,0.0604623812250793
288,10,2,Kyle,what,0.4976789001375437
289,10,2,Gerald,okay theres another one  aw man look at that  can you believe this an suv with a v8 engine makes me sick  ticket for driving a gasguzzler,98.91202449798584
290,10,2,Kyle,dad can we go home please,0.09870190406218171
291,10,2,Gerald,look theres a jeep over there go write them a ticket kyle,0.31113133300095797
292,10,2,Kyle,but dad i want,0.41692880913615227
293,10,2,Gerald,now kyle ,0.09635468595661223
294,10,2,Stan,oh hey kyle,0.07311037043109536
295,10,2,Kyle,aw hey dude what are you doing here,0.7153072860091925
296,10,2,Stan,helping my dad pick out some cool new power tools what are you doing,0.060505984583869576
297,10,2,Kyle,helping my dad give people fake tickets ,0.11676846770569682
298,10,2,Randy,whats this ,1.5274999663233757
299,10,2,Gerald,oh sorry randy looks like you got a ticket,0.2474155044183135
300,10,2,Randy,a ticket failure to care about the environment oh goddammit did you do this gerald,26.002001762390137
301,10,2,Gerald,yeah im just you know trying to make people more aware ya know its a,0.10714754462242126
302,10,2,Randy,you got some nerve you know that where do you come off ticketing people,20.018963515758514
303,10,2,Gerald,well randy calm down its not a real ticket,0.3833264810964465
304,10,2,Randy,i know its not a real ticket,1.2595631182193756
305,10,2,Jimbo,broflovski did you put this crap on my windshield ,97.10902571678162
306,10,2,Gerald,jimbo your truck probably gets less than ten miles to the gallon,0.1634061918593943
307,10,2,Jimbo,well thanks officer dickhole,97.99532890319824
308,10,2,Kyle,dad lets just go,0.08520258124917746
309,10,2,Gerald,look im just trying to make the people of south park aware of a very serious problem,0.2844317350536585
310,10,2,Randy,the problem gerald is that ever since you got a hybrid car youve gotten so smug that you love the smell of your own farts,25.89355707168579
311,10,2,Gerald,oh im sorry i didnt think it was high and mighty to  care about the earth,0.42658825404942036
312,10,2,Randy,and that too stop talking with your eyes closed thats what smug people do,9.293890744447708
313,10,2,Gerald,well i really dont see how  that has anything to do with the,0.9742330759763718
314,10,2,Randy,there like that stop that,2.801082469522953
315,10,2,Darryl,who the hell put this faggy fake ticket on my truck,98.36229681968689
316,10,2,Gerald,all right that does it come on kyle i dont want you hanging around with these ignorant idiots ,96.90715670585632
317,10,2,Gerald,yeah yeah i think its best we just do it right away,0.06436346448026597
318,10,2,Kyle,dad  dad ike and i have been talking and well we feel that your new car is changing you,0.07086599944159389
319,10,2,Gerald,yes it certainly is,0.08038936648517847
320,10,2,Kyle,were thinking that a lot of people in town starting too ,0.06222844822332263
321,10,2,Ike,take offense,0.49898563884198666
322,10,2,Kyle,aare starting to take offense at your actions we feel like youre starting to becomehmm ,0.42045731097459793
323,10,2,Ike,alienated,6.906897574663162
324,10,2,Kyle,starstarting to become alienated from some of your friends,0.06357650854624808
325,10,2,Gerald,well i totally agree kyle,0.10708225890994072
326,10,2,Kyle,you do,0.2737579634413123
327,10,2,Gerald,yes a lot of people in town just arent ready to drive hybrid cars,0.3102528629824519
328,10,2,Kyle,righ  okay good,0.14106573071330786
329,10,2,Gerald,and thats why  ive talked it over with your mother and  weve decided to move,0.05724625661969185
330,10,2,Kyle,what,0.4976789001375437
331,10,2,Gerald,we need to be where everyone is motivated and progressive like us start getting your things packed boys the broflovksi family is moving to san francisco ,0.09558338206261396
332,10,2,Stan,yeah ,0.18280656076967716
333,10,2,Butters, hay stan  you should come on over  theyre havin a goinaway party for kyle,0.06580238114111125
334,10,2,Stan,going away party what do you mean,2.536279894411564
335,10,2,Butters,well dont you know kyles movin away,0.06289794109761715
336,10,2,Stan,moving away kyle cant move away,0.23205666802823544
337,10,2,Butters,well he is,0.7396198809146881
338,10,2,Stan,wheres the goingaway party,0.18220364581793547
339,10,2,Butters,at cartmans house,0.06275040796026587
340,10,2,Cartman,hey everybody theres more pop in the refrigerator lets make this the best goingaway party ever ,0.10396160650998354
341,10,2,Token,hey eric wheres kyle,0.2260624896734953
342,10,2,Cartman,who ,0.16407454386353493
343,10,2,Clyde,kyle the person leaving,0.09503441397100687
344,10,2,Cartman,kyle why would i invite kyle,89.4912838935852
345,10,2,Craig,dude a goingaway party is supposed to be for the person who is going away,0.2578914165496826
346,10,2,Stan,kyle kyle,0.11305590160191059
347,10,2,Clyde,kyles not here cartman didnt invite him,0.08328608237206936
348,10,2,Stan,what,0.4976789001375437
349,10,2,Cartman,you guys this is our party that nogood backstabbing jew rat is finally leaving come on everyone lets sing nanana na nanana na hey hey hey goodbye kyle,98.74112010002136
350,10,2,Stan,kyle duwhat is going on,0.10971988085657358
351,10,2,Kyle,my dad says he cant live here anymore,0.13172882609069347
352,10,2,Stan,mr broflovski please kyles my best friend,0.061837065732106566
353,10,2,Gerald,im sorry stan but unfortunately you live in a smallminded town filled with ignorant boobs,98.12579154968262
354,10,2,Stan,well maybe theyll change,0.3061882220208645
355,10,2,Gerald,i wouldnt count on it come on boys get in the car ,0.36449460312724113
356,10,2,Stan,nooo,0.5387686658650637
357,10,2,Gerald,maybe you can make a difference stan  maybe you can get everyone to drive hybrid cars until that day  were just gonna have to be  with our own kind ,1.1342229321599007
358,10,2,Stan,i will i will get everyone to drive hybrid cars i swear it,0.23988978937268257
359,10,2,Gerald,well what do you think h ,0.22509130649268627
360,10,2,Sheila,oh gerald its beautiful,0.0748138758353889
361,10,2,Gerald,yeah now this is a house ,0.08580756257288158
362,10,2,Man,oh hello there you must be the new neighbors,0.0880734995007515
363,10,2,Gerald,yes thats right were the broflovskis,0.13872769195586443
364,10,2,Man,welcome to san francisco im peter thompson this is my wife nancy jarvis and our son brian thompsonjarvis  so how do you like the neighborhood,0.07627992890775204
365,10,2,Sheila,oh its gorgeous these old houses are so neat,0.08567892364226282
366,10,2,Peter,yes well unlike most cities in san francisco we try to  keep all the historic houses instead of knocking them down,0.0977597082965076
367,10,2,Man 2,you in here peter,0.3764061722904444
368,10,2,Peter,oh hay paul come on in and meet the broflovskis,0.05902568227611482
369,10,2,Paul,hello there im paul mcdonahue this is my wife paulie beaontmccallahan and our daughter mindy mcdonahuebeaontmccallahan,0.061450409702956676
370,10,2,Gerald and Sheila,hello,0.2770006423816085
371,10,2,Paul,we noticed your hybrid out front  thats a v series right,0.09359840187244117
372,10,2,Gerald,yeah thats right,0.17952797934412956
373,10,2,Peter,whoa nice car but were gonna have to get you into the bt series  its emissions are actually cleaner,0.5633403081446886
374,10,2,Gerald,wow so everyone here drives a hybrid h,0.36097289994359016
375,10,2,Peter,oh of course were a little more progressive and ahead of the curve here in san francisco  ahhhm  anyway im sure youll find it much better here,0.2661321545019746
376,10,2,Paul,yes youll find that san francisco is pretty much more openminded and grownup than the midwest  ahhh  ahh  ahh  were just a little bit more protective of our environment here in san francisco,0.4682623315602541
377,10,2,Gerald,yeah we sure are,0.16344611067324877
378,10,2,Stan,come on people come on people now ,0.15680603682994843
379,10,2,Cartman,dude what are you doing,37.45831251144409
380,10,2,Stan,im writing a song about the importance of hybrid cars so maybe people will change their ways,0.33124948386102915
381,10,2,Cartman,thats gay heh,9.67988520860672
